date;time;average price;quantity available;auction count;
08/04/2015;18:36:46;28385;10216;169;
08/04/2015;19:06:46;27705;11410;368;
08/04/2015;19:36:46;27789;10908;382;
08/04/2015;20:06:46;27996;11131;347;
08/04/2015;20:36:46;27635;11631;357;
08/04/2015;21:06:46;27635;11631;357;
08/04/2015;21:36:46;27343;11931;351;
08/04/2015;22:06:46;28115;10917;337;
08/04/2015;22:36:46;27966;11117;338;
08/04/2015;23:06:46;28115;10917;337;
08/04/2015;23:36:46;27767;10117;333;
09/04/2015;00:06:46;27764;10127;334;
09/04/2015;00:36:46;27607;10800;338;
09/04/2015;01:06:46;27328;11200;340;
09/04/2015;01:36:46;27328;11200;340;
09/04/2015;02:06:46;26911;11840;354;
09/04/2015;02:36:46;26911;11840;354;
09/04/2015;03:06:46;26911;11840;354;
09/04/2015;03:36:46;25620;14240;366;
09/04/2015;04:06:46;27607;10800;338;
09/04/2015;04:36:46;27607;10800;338;
09/04/2015;05:06:46;27607;10800;338;
09/04/2015;05:36:46;27607;10800;338;
09/04/2015;06:06:46;27607;10800;338;
09/04/2015;06:36:46;27571;10680;326;
09/04/2015;07:06:46;27798;10080;323;
09/04/2015;07:36:46;27798;10080;323;
09/04/2015;08:06:46;27750;9920;307;
09/04/2015;08:36:46;27991;9120;299;
09/04/2015;09:06:46;27834;9395;315;
09/04/2015;09:36:46;27745;9395;315;
09/04/2015;10:06:46;27719;9429;316;
09/04/2015;10:36:48;27698;8954;308;
09/04/2015;11:06:46;27774;8604;322;
09/04/2015;11:36:46;27340;9004;326;
09/04/2015;12:06:46;27057;7934;337;
09/04/2015;12:36:46;27578;6334;329;
09/04/2015;13:06:46;28056;6133;169;
09/04/2015;13:36:46;27785;6483;173;
09/04/2015;14:06:46;26342;5433;149;
09/04/2015;14:36:46;26342;5433;149;
09/04/2015;15:06:46;26342;5433;149;
09/04/2015;15:36:46;26831;4765;146;
09/04/2015;16:06:46;27404;4160;142;
09/04/2015;16:36:46;27103;4260;149;
09/04/2015;17:06:46;27102;4261;150;
09/04/2015;17:36:46;27980;3450;189;
09/04/2015;18:06:46;26702;3499;188;
09/04/2015;18:36:46;25204;4429;226;
09/04/2015;19:06:46;24285;5229;230;
09/04/2015;19:36:46;18469;10627;258;
09/04/2015;20:06:48;18305;10627;258;
09/04/2015;20:36:46;18267;10675;259;
09/04/2015;21:06:46;19060;9575;253;
09/04/2015;21:36:46;18284;11582;346;
